diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
13.4,15.5,3.7,3.5,4.0,0.10807166249277596,64.0
11.6,13.9,3.8,3.5,4.2,0.1010815013783841,60.5
18.5,20.9,4.7,4.4,5.1,0.14479638009049775,75.2
12.9,14.6,3.6,3.4,3.9,0.10167615947925142,62.5
11.4,13.4,3.1,2.9,3.4,0.10162258847578894,60.8
10.2,12.3,3.2,2.9,3.4,0.08600386665885523,61.400000000000006
10.9,12.9,3.4,3.2,3.7,0.09531052691998622,59.2
9.0,10.9,3.0,2.8,3.3,0.08007776337715238,55.7
16.9,18.9,4.1,3.8,4.3,0.1443695479777954,77.3
10.8,12.9,3.1,2.9,3.4,0.08678782928323463,59.0
12.4,15.0,3.9,3.6,4.2,0.10909856781802864,61.699999999999996
14.4,16.8,3.7,3.4,4.0,0.12256615077383924,77.0
8.9,10.8,2.7,2.5,2.9,0.07959929068628749,47.0
8.3,9.6,2.6,2.4,2.7,0.0657959625204817,45.7
12.9,14.4,3.2,3.0,3.4,0.09294856876890854,62.39999999999999
12.6,15.0,4.0,3.7,4.3,0.11549364218028671,60.6
21.8,24.2,5.6,5.2,6.0,0.1832284501683009,83.5
18.2,20.3,4.6,4.3,4.9,0.15900503778337532,77.80000000000001
7.3,8.7,2.5,2.3,2.7,0.06342380448830924,48.8
11.5,13.0,3.1,3.0,3.3,0.0922329181811516,57.0
10.6,11.7,2.8,2.6,2.9,0.08035046479324714,54.0
10.8,12.5,3.3,3.1,3.5,0.09052321974950689,58.0
14.0,15.8,3.9,3.7,4.2,0.11939787249943948,62.699999999999996
9.8,11.8,3.2,3.0,3.5,0.08560977325485966,57.599999999999994
14.6,16.4,3.7,3.5,3.9,0.1180483367983368,69.3
11.1,12.3,3.1,3.0,3.3,0.08214219017109364,58.199999999999996
10.8,12.3,3.0,2.8,3.2,0.08884822008383021,57.900000000000006
10.8,12.6,3.0,2.8,3.2,0.088162131934669,57.199999999999996
17.3,19.5,4.9,4.6,5.2,0.11620648259303722,81.4
10.3,12.2,3.3,3.0,3.5,0.08760951188986232,59.2
12.0,14.1,3.0,2.8,3.3,0.10023084216167195,61.4
9.7,11.4,3.0,2.8,3.2,0.08582966668675789,51.2
15.0,16.8,4.0,3.7,4.2,0.12129629629629629,66.19999999999999
10.2,11.9,2.9,2.8,3.2,0.08511280132324629,52.5
9.6,11.4,2.8,2.6,3.0,0.07968252758351278,53.8
12.9,15.1,3.6,3.3,3.8,0.10776917312015988,65.2
12.7,14.5,3.6,3.3,3.8,0.1024774369853655,63.0
11.3,13.5,3.2,3.0,3.5,0.09617373319544985,61.8
10.2,12.3,3.4,3.1,3.7,0.08796520057999033,59.199999999999996
18.2,20.4,4.8,4.5,5.1,0.1518171392415075,77.69999999999999
11.5,13.2,3.3,3.1,3.6,0.09247123174570411,59.10000000000001
8.8,10.6,2.8,2.6,3.0,0.0740857724433214,51.3
10.3,12.1,2.7,2.5,2.9,0.08532058216147113,56.0
11.8,14.0,3.5,3.3,3.8,0.10220265521814627,56.4
17.3,20.2,4.3,4.0,4.7,0.15007272246463044,83.89999999999999
14.2,16.5,3.6,3.3,3.9,0.11957720588235295,70.5
9.7,11.7,3.2,2.9,3.5,0.08072174738841406,53.599999999999994
12.9,14.8,3.4,3.2,3.6,0.10519518132646591,64.4
8.2,9.6,2.5,2.3,2.6,0.06088615023474178,53.3
10.7,12.7,3.3,3.1,3.6,0.09095114729829756,57.7
9.8,11.1,3.2,3.0,3.4,0.07930228376191333,48.5
12.5,14.3,3.6,3.4,3.8,0.10501179314472124,57.60000000000001
10.5,12.2,3.2,3.0,3.4,0.08669534550246095,59.89999999999999
16.0,17.8,4.1,3.9,4.4,0.1272494321821676,75.2
12.5,14.3,3.5,3.2,3.7,0.10113982154830058,61.400000000000006
12.6,14.7,3.4,3.2,3.7,0.10594185182521991,61.3
11.5,13.8,3.1,2.9,3.4,0.09526341913068141,58.0
12.2,14.2,3.2,3.0,3.4,0.10322966290506638,64.89999999999999
14.7,16.6,3.8,3.6,4.1,0.12300103842159917,66.3
12.5,14.9,3.7,3.4,4.1,0.10925279749729275,61.599999999999994
11.5,13.9,3.4,3.2,3.8,0.10094759234190678,58.9
11.3,13.6,3.4,3.1,3.7,0.09694793536804308,61.4
11.3,13.3,3.4,3.1,3.6,0.09535489805304308,59.5
17.4,19.4,4.8,4.5,5.1,0.13126296859869968,71.1
21.6,24.5,5.5,5.1,6.0,0.175005711674663,88.0
13.1,15.1,3.7,3.5,4.0,0.11628051386387794,62.9
12.5,15.5,4.1,3.7,4.6,0.11295938104448743,58.2
9.1,11.0,3.1,2.8,3.3,0.07553834657971605,58.4
13.3,15.5,3.8,3.5,4.1,0.11437555271691068,70.7
13.2,15.4,3.8,3.5,4.1,0.1102101097921195,68.60000000000001
15.4,17.4,3.9,3.7,4.2,0.12476846354785087,72.2
16.6,18.5,4.4,4.1,4.7,0.13611526367338522,75.5
11.6,14.0,3.7,3.4,4.0,0.10272764282806351,52.0
12.4,13.9,3.3,3.1,3.5,0.09458428680396644,60.400000000000006
16.2,18.0,4.2,4.0,4.4,0.12896884493953656,73.0
8.9,10.5,2.8,2.6,3.0,0.06878256750355281,48.0
17.9,20.4,4.5,4.2,4.8,0.14485049833887043,80.0
11.1,13.0,3.4,3.2,3.7,0.0942622950819672,63.5
12.4,14.6,3.5,3.2,3.8,0.10187449062754686,63.9
15.5,18.0,4.0,3.7,4.3,0.13007126423881937,73.8
9.6,11.6,3.1,2.9,3.4,0.08153208645984993,57.1
14.5,16.5,3.9,3.6,4.2,0.1222540010953569,65.89999999999999
15.4,17.3,4.1,3.8,4.4,0.12615983238551332,69.8
10.2,12.4,3.1,2.9,3.4,0.09216482084133128,53.5
16.3,18.2,4.1,3.8,4.3,0.13448004546050618,71.3
11.8,14.1,3.5,3.3,3.8,0.10844554506526337,57.6
9.6,11.2,2.8,2.6,2.9,0.08247938857255761,50.0
14.9,17.2,3.9,3.6,4.2,0.12568143522648428,69.9
14.7,17.3,4.4,4.0,4.7,0.13447092645831402,60.400000000000006
15.7,18.3,3.9,3.6,4.3,0.13145365273024848,77.6
13.2,15.2,3.8,3.5,4.0,0.10186055976285151,60.5
9.7,11.5,3.1,2.9,3.3,0.07976772616136919,57.5
12.2,13.8,3.1,3.0,3.3,0.09956238614711363,60.6
9.9,11.1,2.5,2.3,2.6,0.08118102501877852,50.099999999999994
12.9,14.7,3.4,3.2,3.7,0.10124713347783747,68.0
14.0,15.6,3.9,3.7,4.2,0.12248285018809471,65.5
9.6,11.6,3.2,3.0,3.6,0.07930648769574944,59.5
9.6,11.0,2.5,2.3,2.6,0.07752470066791838,54.5
14.0,16.2,4.0,3.7,4.3,0.12063413425811247,65.0
10.9,13.0,3.1,2.9,3.4,0.0967512189777023,59.3
14.0,16.3,3.6,3.4,3.9,0.119187868153904,68.3
10.9,12.9,3.0,2.7,3.2,0.09268280620193378,58.099999999999994
10.1,11.9,2.9,2.7,3.1,0.08429516275450655,57.099999999999994
14.1,16.5,3.6,3.4,4.0,0.12183190215977101,70.2
14.1,16.5,3.8,3.5,4.1,0.11734918538088948,67.3
13.5,15.7,3.4,3.1,3.6,0.11470908123201765,69.0
15.7,17.9,4.3,4.1,4.7,0.13529556046112337,73.8
13.0,15.0,3.6,3.4,3.9,0.10931981314800046,63.800000000000004
18.3,20.7,4.8,4.5,5.2,0.15674362089914945,72.5
19.4,21.9,4.5,4.2,4.8,0.16285263365555336,81.8
10.9,13.1,2.8,2.6,3.1,0.09164654232735726,60.3
16.1,18.9,4.3,3.9,4.7,0.14018544711614017,81.19999999999999
12.8,15.1,3.7,3.4,4.0,0.10902455444141303,63.0
18.1,20.1,4.3,4.1,4.6,0.14945652173913043,75.4
10.4,12.5,3.1,2.9,3.4,0.09391594598695191,53.400000000000006
12.4,14.9,3.8,3.5,4.1,0.11213987974473422,60.8
11.7,13.6,3.4,3.2,3.6,0.09627143490924522,57.1
8.9,10.7,2.8,2.6,3.0,0.07456896551724138,52.2
10.6,12.6,3.2,3.0,3.5,0.09381269561030414,53.3
7.8,9.3,2.6,2.4,2.8,0.06591503498975047,45.2
11.2,12.9,3.0,2.8,3.2,0.09241172051089407,57.2
15.8,18.3,4.1,3.8,4.5,0.13568513445519093,75.2
11.6,13.4,2.9,2.7,3.1,0.09353455073626334,57.7
8.2,9.4,2.3,2.2,2.5,0.07614357441653789,31.700000000000003
7.9,9.2,2.5,2.4,2.7,0.06711924949348493,49.400000000000006
11.4,13.3,3.1,2.8,3.3,0.09587788328008039,59.00000000000001
13.1,14.9,3.6,3.4,3.8,0.10779985283296542,65.9
12.5,14.3,4.2,4.0,4.5,0.11278850341123531,52.9
