diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
0.3155080213903743,0.33004926108374383,0.4464285714285712,0.3414634146341464,0.36170212765957455,0.3554488114459724,0.4956140350877192
0.3957219251336898,0.41871921182266,0.5535714285714286,0.41463414634146345,0.44680851063829796,0.4371220260432641,0.6074561403508769
0.4705882352941177,0.4975369458128079,0.5892857142857142,0.41463414634146345,0.46808510638297873,0.515616723540475,0.7543859649122806
0.34759358288770054,0.3743842364532019,0.482142857142857,0.3414634146341464,0.36170212765957455,0.3869061593982712,0.46271929824561386
0.26737967914438504,0.2906403940886699,0.482142857142857,0.3414634146341464,0.38297872340425543,0.29489128443441304,0.48684210526315774
0.49197860962566836,0.4827586206896551,0.6607142857142856,0.46341463414634154,0.46808510638297873,0.5342013146340523,0.6666666666666663
0.24064171122994654,0.27093596059113295,0.375,0.29268292682926833,0.3191489361702128,0.296952815924174,0.30043859649122817
0.24064171122994654,0.23645320197044334,0.26785714285714257,0.2195121951219513,0.23404255319148937,0.17745444140208044,0.3991228070175439
0.45454545454545453,0.47783251231527085,0.767857142857143,0.5121951219512195,0.5531914893617023,0.5262980532446758,0.6710526315789471
0.45989304812834225,0.4532019704433497,0.6249999999999998,0.4390243902439025,0.44680851063829796,0.4923894036739812,0.5986842105263157
0.5508021390374331,0.5369458128078817,0.6607142857142856,0.4878048780487806,0.46808510638297873,0.6060525956107136,0.7324561403508769
0.29411764705882354,0.32019704433497526,0.5892857142857142,0.3902439024390244,0.44680851063829796,0.3326935953400679,0.4802631578947367
0.5401069518716577,0.5369458128078817,0.6249999999999998,0.46341463414634154,0.44680851063829796,0.56226598739338,0.7017543859649122
0.3368983957219251,0.36453201970443344,0.6607142857142856,0.46341463414634154,0.4893617021276597,0.3940948926900292,0.5416666666666663
0.3957219251336898,0.3940886699507388,0.6964285714285714,0.4878048780487806,0.4893617021276597,0.3425791923506397,0.5285087719298245
0.2887700534759358,0.315270935960591,0.482142857142857,0.36585365853658547,0.4042553191489362,0.30975731464342604,0.5175438596491226
0.29411764705882354,0.28571428571428564,0.375,0.29268292682926833,0.27659574468085113,0.32898764718395124,0.3837719298245612
0.30481283422459887,0.315270935960591,0.4107142857142856,0.3170731707317074,0.34042553191489366,0.33359254339946864,0.39912280701754366
0.3903743315508022,0.4236453201970443,0.6607142857142856,0.46341463414634154,0.4893617021276597,0.470230436995842,0.6074561403508769
0.41176470588235287,0.44334975369458124,0.767857142857143,0.5365853658536586,0.5531914893617023,0.503464584417309,0.6469298245614035
